date,line_code,product_id,quantity,revenue_cny,yield_rate,data_label
2026-01-04,LINE-A01,SKU-1001,8678,128385.85,0.952,SYNTHETIC_GOERTEK_FIXTURE
2026-01-04,LINE-A02,SKU-1002,11215,153109.9,0.958,SYNTHETIC_GOERTEK_FIXTURE
2026-01-04,LINE-B01,SKU-1003,,168320.4,0.939,SYNTHETIC_GOERTEK_FIXTURE
2026-01-05,LINE-A01,SKU-1001,8388,114556.46,0.962,SYNTHETIC_GOERTEK_FIXTURE
2026-01-05,LINE-A02,SKU-1002,9956,150593.41,0.949,SYNTHETIC_GOERTEK_FIXTURE
2026-01-05,LINE-B01,,8549,108426.47,0.947,SYNTHETIC_GOERTEK_FIXTURE
2026-01-06,LINE-A01,SKU-1001,8146,106604.06,0.96,SYNTHETIC_GOERTEK_FIXTURE
2026-01-06,LINE-A02,SKU-1002,9356,,0.956,SYNTHETIC_GOERTEK_FIXTURE
2026-01-06,LINE-B01,SKU-1003,8211,117179.78,0.932,SYNTHETIC_GOERTEK_FIXTURE
2026-01-07,LINE-A01,SKU-1001,10178,153488.42,,SYNTHETIC_GOERTEK_FIXTURE
2026-01-07,LINE-A02,SKU-1002,11731,179033.57,0.955,SYNTHETIC_GOERTEK_FIXTURE
2026-01-07,LINE-B01,SKU-1003,8341,108231.55,0.936,SYNTHETIC_GOERTEK_FIXTURE
2026-01-08,,SKU-1001,10579,132267.57,0.956,SYNTHETIC_GOERTEK_FIXTURE
2026-01-08,LINE-A02,SKU-1002,8613,112147,0.932,SYNTHETIC_GOERTEK_FIXTURE
2026-01-08,LINE-B01,SKU-1003,12789,176447.8,,SYNTHETIC_GOERTEK_FIXTURE
2026-01-11,LINE-A01,SKU-1001,,160079.51,0.96,SYNTHETIC_GOERTEK_FIXTURE
2026-01-11,LINE-A02,SKU-1002,9076,126373.75,0.967,SYNTHETIC_GOERTEK_FIXTURE
2026-01-11,LINE-B01,SKU-1003,8721,116298.93,0.954,SYNTHETIC_GOERTEK_FIXTURE
2026-01-12,LINE-A01,SKU-1001,12748,176033.42,0.945,SYNTHETIC_GOERTEK_FIXTURE
2026-01-12,LINE-A02,SKU-1002,,151869.45,0.963,SYNTHETIC_GOERTEK_FIXTURE
2026-01-12,LINE-B01,SKU-1003,11135,158369.33,0.948,SYNTHETIC_GOERTEK_FIXTURE
2026-01-13,LINE-A01,SKU-1001,12383,168407.87,0.939,SYNTHETIC_GOERTEK_FIXTURE
2026-01-13,LINE-A02,,8799,118873.4,0.956,SYNTHETIC_GOERTEK_FIXTURE
2026-01-13,LINE-B01,SKU-1003,11217,143323.47,0.934,SYNTHETIC_GOERTEK_FIXTURE
2026-01-14,LINE-A01,SKU-1001,11878,,0.959,SYNTHETIC_GOERTEK_FIXTURE
2026-01-14,LINE-A02,SKU-1002,11291,161228.51,0.94,SYNTHETIC_GOERTEK_FIXTURE
