date,plant_code,material_code,unit_price_cny,order_qty,total_cost_cny,data_label
2026-01-04,PLANT-01,MAT-2201,800,200,160000,SYNTHETIC_GOERTEK_FIXTURE
2026-01-05,PLANT-02,MAT-2202,845,210,177450,SYNTHETIC_GOERTEK_FIXTURE
2026-01-06,PLANT-03,MAT-2203,0.1,220,22,SYNTHETIC_GOERTEK_FIXTURE
2026-01-07,PLANT-01,MAT-2201,935,230,215050,SYNTHETIC_GOERTEK_FIXTURE
2026-01-08,PLANT-02,MAT-2202,980,240,235200,SYNTHETIC_GOERTEK_FIXTURE
2026-01-09,PLANT-03,MAT-2203,0.13,250,32.5,SYNTHETIC_GOERTEK_FIXTURE
2026-01-10,PLANT-01,MAT-2201,1070,260,278200,SYNTHETIC_GOERTEK_FIXTURE
2026-01-11,PLANT-02,MAT-2202,1115,270,301050,SYNTHETIC_GOERTEK_FIXTURE
2026-01-12,PLANT-03,MAT-2203,0.09,280,25.2,SYNTHETIC_GOERTEK_FIXTURE
2026-01-13,PLANT-01,MAT-2201,1205,290,349450,SYNTHETIC_GOERTEK_FIXTURE
2026-01-14,PLANT-02,MAT-2202,1250,300,375000,SYNTHETIC_GOERTEK_FIXTURE
2026-01-15,PLANT-03,MAT-2203,0.12,310,37.2,SYNTHETIC_GOERTEK_FIXTURE
2026-01-16,PLANT-01,MAT-2201,800,320,256000,SYNTHETIC_GOERTEK_FIXTURE
2026-01-17,PLANT-02,MAT-2202,845,330,278850,SYNTHETIC_GOERTEK_FIXTURE
2026-01-18,PLANT-03,MAT-2203,0.08,340,27.2,SYNTHETIC_GOERTEK_FIXTURE
2026-01-19,PLANT-01,MAT-2201,935,200,187000,SYNTHETIC_GOERTEK_FIXTURE
2026-01-20,PLANT-02,MAT-2202,980,210,205800,SYNTHETIC_GOERTEK_FIXTURE
2026-01-21,PLANT-03,MAT-2203,0.11,220,24.2,SYNTHETIC_GOERTEK_FIXTURE
2026-01-22,PLANT-01,MAT-2201,1070,230,246100,SYNTHETIC_GOERTEK_FIXTURE
2026-01-23,PLANT-02,MAT-2202,1115,240,267600,SYNTHETIC_GOERTEK_FIXTURE
2026-01-24,PLANT-03,MAT-2203,0.14,250,35,SYNTHETIC_GOERTEK_FIXTURE
2026-01-25,PLANT-01,MAT-2201,1205,260,313300,SYNTHETIC_GOERTEK_FIXTURE
2026-01-26,PLANT-02,MAT-2202,1250,270,337500,SYNTHETIC_GOERTEK_FIXTURE
2026-01-27,PLANT-03,MAT-2203,0.1,280,28,SYNTHETIC_GOERTEK_FIXTURE
2026-01-28,PLANT-01,MAT-2201,800,290,232000,SYNTHETIC_GOERTEK_FIXTURE
2026-01-29,PLANT-02,MAT-2202,845,300,253500,SYNTHETIC_GOERTEK_FIXTURE
2026-01-30,PLANT-03,MAT-2203,0.13,310,40.3,SYNTHETIC_GOERTEK_FIXTURE
2026-01-31,PLANT-01,MAT-2201,935,320,299200,SYNTHETIC_GOERTEK_FIXTURE
2026-02-01,PLANT-02,MAT-2202,980,330,323400,SYNTHETIC_GOERTEK_FIXTURE
2026-02-02,PLANT-03,MAT-2203,0.09,340,30.6,SYNTHETIC_GOERTEK_FIXTURE
2026-02-03,PLANT-01,MAT-2201,1070,200,214000,SYNTHETIC_GOERTEK_FIXTURE
2026-02-04,PLANT-02,MAT-2202,1115,210,234150,SYNTHETIC_GOERTEK_FIXTURE
2026-02-05,PLANT-03,MAT-2203,0.12,220,26.4,SYNTHETIC_GOERTEK_FIXTURE
2026-02-06,PLANT-01,MAT-2201,1205,230,277150,SYNTHETIC_GOERTEK_FIXTURE
2026-02-07,PLANT-02,MAT-2202,1250,240,300000,SYNTHETIC_GOERTEK_FIXTURE
2026-02-08,PLANT-03,MAT-2203,0.08,250,20,SYNTHETIC_GOERTEK_FIXTURE
2026-02-09,PLANT-01,MAT-2201,800,260,208000,SYNTHETIC_GOERTEK_FIXTURE
2026-02-10,PLANT-02,MAT-2202,845,270,228150,SYNTHETIC_GOERTEK_FIXTURE
