date,line_code,sku_id,produced_qty,defect_rate,data_label
2026-01-31,LINE-X01,SKU-5001,500,0.0479,SYNTHETIC_GOERTEK_FIXTURE
2026-02-01,LINE-X02,SKU-5002,525,0.0441,SYNTHETIC_GOERTEK_FIXTURE
2026-02-02,LINE-X03,SKU-5003,550,0.0304,SYNTHETIC_GOERTEK_FIXTURE
2026-02-03,LINE-X01,SKU-5004,575,0.0353,SYNTHETIC_GOERTEK_FIXTURE
2026-02-04,LINE-X02,SKU-5001,600,0.0307,SYNTHETIC_GOERTEK_FIXTURE
2026-02-05,LINE-X03,SKU-5002,625,0.0397,SYNTHETIC_GOERTEK_FIXTURE
2026-02-06,LINE-X01,SKU-5003,650,0.0296,SYNTHETIC_GOERTEK_FIXTURE
2026-02-08,LINE-X02,SKU-5004,675,0.0308,SYNTHETIC_GOERTEK_FIXTURE
2026-02-09,LINE-X03,SKU-5001,700,0.0252,SYNTHETIC_GOERTEK_FIXTURE
2026-02-10,LINE-X01,SKU-5002,725,0.0339,SYNTHETIC_GOERTEK_FIXTURE
2026-02-11,LINE-X02,SKU-5003,750,0.0375,SYNTHETIC_GOERTEK_FIXTURE
2026-02-12,LINE-X03,SKU-5004,775,0.0348,SYNTHETIC_GOERTEK_FIXTURE
2026-02-13,LINE-X01,SKU-5001,800,0.04,SYNTHETIC_GOERTEK_FIXTURE
2026-02-15,LINE-X02,SKU-5002,825,0.0348,SYNTHETIC_GOERTEK_FIXTURE
2026-02-16,LINE-X03,SKU-5003,850,0.0268,SYNTHETIC_GOERTEK_FIXTURE
2026-02-17,LINE-X01,SKU-5004,875,0.048,SYNTHETIC_GOERTEK_FIXTURE
2026-02-17,LINE-X01,SKU-5004,875,0.048,SYNTHETIC_GOERTEK_FIXTURE
2026-02-18,LINE-X03,SKU-5002,925,0.0364,SYNTHETIC_GOERTEK_FIXTURE
2026-02-19,LINE-X01,SKU-5003,950,0.0373,SYNTHETIC_GOERTEK_FIXTURE
2026-02-20,LINE-X02,SKU-5004,975,0.0336,SYNTHETIC_GOERTEK_FIXTURE
2026-02-22,LINE-X03,SKU-5001,500,0.0318,SYNTHETIC_GOERTEK_FIXTURE
2026-02-23,LINE-X01,SKU-5002,525,0.0418,SYNTHETIC_GOERTEK_FIXTURE
2026-02-24,LINE-X02,SKU-5003,550,0.0333,SYNTHETIC_GOERTEK_FIXTURE
2026-02-25,LINE-X03,SKU-5004,575,0.0486,SYNTHETIC_GOERTEK_FIXTURE
2026-02-26,LINE-X01,SKU-5001,600,0.0279,SYNTHETIC_GOERTEK_FIXTURE
2026-02-27,LINE-X02,SKU-5002,625,0.029,SYNTHETIC_GOERTEK_FIXTURE
2026-03-01,LINE-X03,SKU-5003,650,0.0425,SYNTHETIC_GOERTEK_FIXTURE
2026-03-02,LINE-X01,SKU-5004,675,0.0348,SYNTHETIC_GOERTEK_FIXTURE
2026-03-03,LINE-X02,SKU-5001,700,0.0214,SYNTHETIC_GOERTEK_FIXTURE
2026-03-04,LINE-X03,SKU-5002,725,0.0214,SYNTHETIC_GOERTEK_FIXTURE
2026-03-05,LINE-X01,SKU-5003,750,0.036,SYNTHETIC_GOERTEK_FIXTURE
2026-03-06,LINE-X02,SKU-5004,775,0.0414,SYNTHETIC_GOERTEK_FIXTURE
2026-03-08,LINE-X03,SKU-5001,800,0.0419,SYNTHETIC_GOERTEK_FIXTURE
2026-03-09,LINE-X01,SKU-5002,825,0.0498,SYNTHETIC_GOERTEK_FIXTURE
2026-03-10,LINE-X02,SKU-5003,850,0.0389,SYNTHETIC_GOERTEK_FIXTURE
2026-03-11,LINE-X03,SKU-5004,875,0.0321,SYNTHETIC_GOERTEK_FIXTURE
2026-03-12,LINE-X01,SKU-5001,900,0.0273,SYNTHETIC_GOERTEK_FIXTURE
2026-03-13,LINE-X02,SKU-5002,925,0.0346,SYNTHETIC_GOERTEK_FIXTURE
2026-03-15,LINE-X03,SKU-5003,950,0.0482,SYNTHETIC_GOERTEK_FIXTURE
2026-03-15,LINE-X03,SKU-5003,950,0.0482,SYNTHETIC_GOERTEK_FIXTURE
2026-03-16,LINE-X02,SKU-5001,500,0.0242,SYNTHETIC_GOERTEK_FIXTURE
2026-03-17,LINE-X03,SKU-5002,525,0.0218,SYNTHETIC_GOERTEK_FIXTURE
2026-03-18,LINE-X01,SKU-5003,550,0.0251,SYNTHETIC_GOERTEK_FIXTURE
2026-03-19,LINE-X02,SKU-5004,575,0.0463,SYNTHETIC_GOERTEK_FIXTURE
2026-03-20,LINE-X03,SKU-5001,600,0.0447,SYNTHETIC_GOERTEK_FIXTURE
2026-03-22,LINE-X01,SKU-5002,625,0.0339,SYNTHETIC_GOERTEK_FIXTURE
2026-03-23,LINE-X02,SKU-5003,650,0.0479,SYNTHETIC_GOERTEK_FIXTURE
2026-03-24,LINE-X03,SKU-5004,675,0.0443,SYNTHETIC_GOERTEK_FIXTURE
2026-03-25,LINE-X01,SKU-5001,700,0.0488,SYNTHETIC_GOERTEK_FIXTURE
2026-03-26,LINE-X02,SKU-5002,725,0.0227,SYNTHETIC_GOERTEK_FIXTURE
2026-03-27,LINE-X03,SKU-5003,750,0.0356,SYNTHETIC_GOERTEK_FIXTURE
2026-03-29,LINE-X01,SKU-5004,775,0.0312,SYNTHETIC_GOERTEK_FIXTURE
2026-03-30,LINE-X02,SKU-5001,800,0.0391,SYNTHETIC_GOERTEK_FIXTURE
2026-03-31,LINE-X03,SKU-5002,825,0.0416,SYNTHETIC_GOERTEK_FIXTURE
2026-04-01,LINE-X01,SKU-5003,850,0.0377,SYNTHETIC_GOERTEK_FIXTURE
2026-04-02,LINE-X02,SKU-5004,875,0.0391,SYNTHETIC_GOERTEK_FIXTURE
2026-04-03,LINE-X03,SKU-5001,900,0.0473,SYNTHETIC_GOERTEK_FIXTURE
2026-04-05,LINE-X01,SKU-5002,925,0.0376,SYNTHETIC_GOERTEK_FIXTURE
2026-04-06,LINE-X02,SKU-5003,950,0.0474,SYNTHETIC_GOERTEK_FIXTURE
2026-04-07,LINE-X03,SKU-5004,975,0.0497,SYNTHETIC_GOERTEK_FIXTURE
2026-04-08,LINE-X01,SKU-5001,500,0.0245,SYNTHETIC_GOERTEK_FIXTURE
2026-04-09,LINE-X02,SKU-5002,525,0.0393,SYNTHETIC_GOERTEK_FIXTURE
2026-04-10,LINE-X03,SKU-5003,550,0.0461,SYNTHETIC_GOERTEK_FIXTURE
2026-04-10,LINE-X03,SKU-5003,550,0.0461,SYNTHETIC_GOERTEK_FIXTURE
2026-04-12,LINE-X02,SKU-5001,600,0.0279,SYNTHETIC_GOERTEK_FIXTURE
2026-04-13,LINE-X03,SKU-5002,625,0.0438,SYNTHETIC_GOERTEK_FIXTURE
2026-04-14,LINE-X01,SKU-5003,650,0.0305,SYNTHETIC_GOERTEK_FIXTURE
2026-04-15,LINE-X02,SKU-5004,675,0.0428,SYNTHETIC_GOERTEK_FIXTURE
2026-04-16,LINE-X03,SKU-5001,700,0.0403,SYNTHETIC_GOERTEK_FIXTURE
2026-04-17,LINE-X01,SKU-5002,725,0.0465,SYNTHETIC_GOERTEK_FIXTURE
2026-04-19,LINE-X02,SKU-5003,750,0.0218,SYNTHETIC_GOERTEK_FIXTURE
2026-04-20,LINE-X03,SKU-5004,775,0.0488,SYNTHETIC_GOERTEK_FIXTURE
2026-04-21,LINE-X01,SKU-5001,800,0.0365,SYNTHETIC_GOERTEK_FIXTURE
2026-04-22,LINE-X02,SKU-5002,825,0.0227,SYNTHETIC_GOERTEK_FIXTURE
2026-04-23,LINE-X03,SKU-5003,850,0.0299,SYNTHETIC_GOERTEK_FIXTURE
2026-04-24,LINE-X01,SKU-5004,875,0.0255,SYNTHETIC_GOERTEK_FIXTURE
2026-04-26,LINE-X02,SKU-5001,900,0.038,SYNTHETIC_GOERTEK_FIXTURE
2026-04-27,LINE-X03,SKU-5002,925,0.0202,SYNTHETIC_GOERTEK_FIXTURE
2026-04-28,LINE-X01,SKU-5003,950,0.0429,SYNTHETIC_GOERTEK_FIXTURE
2026-04-29,LINE-X02,SKU-5004,975,0.0485,SYNTHETIC_GOERTEK_FIXTURE
2026-04-30,LINE-X03,SKU-5001,500,0.0316,SYNTHETIC_GOERTEK_FIXTURE
2026-05-01,LINE-X01,SKU-5002,525,0.032,SYNTHETIC_GOERTEK_FIXTURE
