batch_id,line_code,input_qty,output_qty,yield_rate,utilization_rate,data_label
BATCH-026001,LINE-D01,1000,950,0.95,0.821,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026002,LINE-D02,1050,990,0.9429,0.929,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026003,LINE-D03,1100,1030,0.9364,0.779,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026004,LINE-D04,1150,1070,0.9304,0.78,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026005,LINE-D01,1200,1110,0.925,0.848,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026006,LINE-D02,1250,1150,0.92,0.874,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026007,LINE-D03,1300,1190,0.9154,0.895,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026008,LINE-D04,1350,1230,0.9111,0.82,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026009,LINE-D01,1400,1270,0.9071,0.802,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026010,LINE-D02,1450,1310,0.9034,0.807,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026011,LINE-D03,1500,1350,0.9,0.942,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026012,LINE-D04,1550,1390,0.8968,0.754,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026013,LINE-D01,1600,950,1.12,0.913,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026014,LINE-D02,1650,990,0.6,0.807,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026015,LINE-D03,1700,1030,0.6059,0.839,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026016,LINE-D04,1000,990,0.99,0.904,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026017,LINE-D01,1050,1030,0.981,0.897,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026018,LINE-D02,1100,1070,0.9727,0.856,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026019,LINE-D03,1150,1110,0.9652,0.879,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026020,LINE-D04,1200,1190,0.9917,0.898,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026021,LINE-D01,1250,1230,0.984,0.825,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026022,LINE-D02,1300,1270,0.9769,0.842,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026023,LINE-D03,1350,1350,1,0.866,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026024,LINE-D04,1400,1390,0.9929,0.812,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026025,LINE-D01,1450,950,0.6552,0.806,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026026,LINE-D02,1500,990,0.66,0.845,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026027,LINE-D03,1550,1030,0.6645,0.93,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026028,LINE-D04,1600,1070,-0.03,0.9,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026029,LINE-D01,1650,1110,0.6727,0.772,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026030,LINE-D02,1700,1150,0.6765,0.911,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026031,LINE-D03,1000,990,0.99,0.8,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026032,LINE-D04,1050,1030,0.981,0.83,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026033,LINE-D01,1100,1070,0.9727,0.879,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026034,LINE-D02,1150,1110,0.9652,0.778,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026035,LINE-D03,1200,1190,0.9917,1.23,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026036,LINE-D04,1250,1230,0.984,0.891,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026037,LINE-D01,1300,950,0.7308,0.918,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026038,LINE-D02,1350,990,0.7333,0.817,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026039,LINE-D03,1400,1030,0.7357,0.946,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026040,LINE-D04,1450,1070,0.7379,0.89,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026041,LINE-D01,1500,1110,0.74,0.834,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026042,LINE-D02,1550,1150,0.7419,0.83,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026043,LINE-D03,1600,1190,0.7438,0.901,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026044,LINE-D04,1650,1230,0.7455,0.945,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026045,LINE-D01,1700,1270,0.7471,0.896,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026046,LINE-D02,1000,990,1.08,0.878,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026047,LINE-D03,1050,1030,0.981,0.785,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026048,LINE-D04,1100,1070,0.9727,0.842,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026049,LINE-D01,1150,950,0.8261,0.928,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026050,LINE-D02,1200,990,0.825,0.907,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026051,LINE-D03,1250,1030,0.824,0.863,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026052,LINE-D04,1300,1070,0.8231,0.867,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026053,LINE-D01,1350,1110,0.8222,0.763,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026054,LINE-D02,1400,1150,0.8214,0.836,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026055,LINE-D03,1450,1190,0.8207,0.847,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026056,LINE-D04,1500,1230,0.82,0.932,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026057,LINE-D01,1550,1270,0.8194,0.835,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026058,LINE-D02,1600,1310,0.8187,0.808,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026059,LINE-D03,1650,1350,0.8182,0.829,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026060,LINE-D04,1700,1390,0.8176,0.932,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026061,LINE-D01,1000,950,0.95,0.92,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026062,LINE-D02,1050,990,0.9429,0.908,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026063,LINE-D03,1100,1030,0.9364,0.909,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026064,LINE-D04,1150,1070,0.9304,0.884,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026065,LINE-D01,1200,1110,0.925,0.858,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026066,LINE-D02,1250,1150,0.92,0.78,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026067,LINE-D03,1300,1190,0.9154,0.752,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026068,LINE-D04,1350,1230,0.9111,0.824,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026069,LINE-D01,1400,1270,1.15,0.943,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026070,LINE-D02,1450,1310,0.9034,0.841,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026071,LINE-D03,1500,1350,0.9,0.765,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026072,LINE-D04,1550,1390,0.8968,-0.05,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026073,LINE-D01,1600,950,0.5938,0.885,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026074,LINE-D02,1650,990,0.6,0.782,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026075,LINE-D03,1700,1030,0.6059,0.77,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026076,LINE-D04,1000,990,0.99,0.861,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026077,LINE-D01,1050,1030,0.981,0.828,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026078,LINE-D02,1100,1070,0.9727,0.929,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026079,LINE-D03,1150,1110,0.9652,0.767,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026080,LINE-D04,1200,1190,0.9917,0.756,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026081,LINE-D01,1250,1230,0.984,0.945,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026082,LINE-D02,1300,1270,0.9769,0.854,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026083,LINE-D03,1350,1350,1,0.808,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026084,LINE-D04,1400,1390,-0.01,0.831,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026085,LINE-D01,1450,950,0.6552,0.86,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026086,LINE-D02,1500,990,0.66,0.927,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026087,LINE-D03,1550,1030,0.6645,0.764,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026088,LINE-D04,1600,1070,0.6687,0.925,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026089,LINE-D01,1650,1110,0.6727,0.872,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026090,LINE-D02,1700,1150,0.6765,0.947,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026091,LINE-D03,1000,990,0.99,0.893,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026092,LINE-D04,1050,1030,0.981,0.896,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026093,LINE-D01,1100,1070,0.9727,0.774,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026094,LINE-D02,1150,1110,0.9652,0.773,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026095,LINE-D03,1200,1190,0.9917,0.814,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026096,LINE-D04,1250,1230,0.984,0.773,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026097,LINE-D01,1300,950,0.7308,0.76,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026098,LINE-D02,1350,990,0.7333,0.939,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026099,LINE-D03,1400,1030,0.7357,0.753,SYNTHETIC_GOERTEK_FIXTURE
BATCH-026100,LINE-D04,1450,1070,0.7379,0.778,SYNTHETIC_GOERTEK_FIXTURE
