date,line_code,daily_output_qty,data_label
2026-01-05,LINE-E01,400,SYNTHETIC_GOERTEK_FIXTURE
2026-01-06,LINE-E01,415,SYNTHETIC_GOERTEK_FIXTURE
2026-01-07,LINE-E01,430,SYNTHETIC_GOERTEK_FIXTURE
2026-01-08,LINE-E01,445,SYNTHETIC_GOERTEK_FIXTURE
2026-01-09,LINE-E01,460,SYNTHETIC_GOERTEK_FIXTURE
2026-01-12,LINE-E01,505,SYNTHETIC_GOERTEK_FIXTURE
2026-01-13,LINE-E01,520,SYNTHETIC_GOERTEK_FIXTURE
2026-01-14,LINE-E01,535,SYNTHETIC_GOERTEK_FIXTURE
2026-01-15,LINE-E01,550,SYNTHETIC_GOERTEK_FIXTURE
2026-01-16,LINE-E01,565,SYNTHETIC_GOERTEK_FIXTURE
2026-01-19,LINE-E01,610,SYNTHETIC_GOERTEK_FIXTURE
2026-01-20,LINE-E01,625,SYNTHETIC_GOERTEK_FIXTURE
2026-01-21,LINE-E01,640,SYNTHETIC_GOERTEK_FIXTURE
2026-01-22,LINE-E01,655,SYNTHETIC_GOERTEK_FIXTURE
2026-01-23,LINE-E01,670,SYNTHETIC_GOERTEK_FIXTURE
2026-01-26,LINE-E01,415,SYNTHETIC_GOERTEK_FIXTURE
2026-01-27,LINE-E01,430,SYNTHETIC_GOERTEK_FIXTURE
2026-01-28,LINE-E01,445,SYNTHETIC_GOERTEK_FIXTURE
2026-01-29,LINE-E01,460,SYNTHETIC_GOERTEK_FIXTURE
2026-01-30,LINE-E01,475,SYNTHETIC_GOERTEK_FIXTURE
2026-02-02,LINE-E01,520,SYNTHETIC_GOERTEK_FIXTURE
2026-02-03,LINE-E01,535,SYNTHETIC_GOERTEK_FIXTURE
2026-02-06,LINE-E01,550,SYNTHETIC_GOERTEK_FIXTURE
2026-02-09,LINE-E01,625,SYNTHETIC_GOERTEK_FIXTURE
2026-02-10,LINE-E01,640,SYNTHETIC_GOERTEK_FIXTURE
2026-02-11,LINE-E01,655,SYNTHETIC_GOERTEK_FIXTURE
2026-02-12,LINE-E01,670,SYNTHETIC_GOERTEK_FIXTURE
2026-02-13,LINE-E01,685,SYNTHETIC_GOERTEK_FIXTURE
2026-02-16,LINE-E01,430,SYNTHETIC_GOERTEK_FIXTURE
2026-02-17,LINE-E01,445,SYNTHETIC_GOERTEK_FIXTURE
2026-02-19,LINE-E01,460,SYNTHETIC_GOERTEK_FIXTURE
2026-02-20,LINE-E01,490,SYNTHETIC_GOERTEK_FIXTURE
2026-02-23,LINE-E01,535,SYNTHETIC_GOERTEK_FIXTURE
2026-02-24,LINE-E01,550,SYNTHETIC_GOERTEK_FIXTURE
2026-02-25,LINE-E01,565,SYNTHETIC_GOERTEK_FIXTURE
2026-02-26,LINE-E01,580,SYNTHETIC_GOERTEK_FIXTURE
2026-02-27,LINE-E01,595,SYNTHETIC_GOERTEK_FIXTURE
2026-03-02,LINE-E01,640,SYNTHETIC_GOERTEK_FIXTURE
2026-03-03,LINE-E01,655,SYNTHETIC_GOERTEK_FIXTURE
2026-03-04,LINE-E01,670,SYNTHETIC_GOERTEK_FIXTURE
2026-03-05,LINE-E01,685,SYNTHETIC_GOERTEK_FIXTURE
2026-03-06,LINE-E01,400,SYNTHETIC_GOERTEK_FIXTURE
2026-03-11,LINE-E01,445,SYNTHETIC_GOERTEK_FIXTURE
2026-03-12,LINE-E01,490,SYNTHETIC_GOERTEK_FIXTURE
2026-03-13,LINE-E01,505,SYNTHETIC_GOERTEK_FIXTURE
2026-03-16,LINE-E01,550,SYNTHETIC_GOERTEK_FIXTURE
2026-03-17,LINE-E01,565,SYNTHETIC_GOERTEK_FIXTURE
2026-03-18,LINE-E01,580,SYNTHETIC_GOERTEK_FIXTURE
2026-03-19,LINE-E01,595,SYNTHETIC_GOERTEK_FIXTURE
2026-03-20,LINE-E01,610,SYNTHETIC_GOERTEK_FIXTURE
2026-03-23,LINE-E01,655,SYNTHETIC_GOERTEK_FIXTURE
2026-03-24,LINE-E01,670,SYNTHETIC_GOERTEK_FIXTURE
2026-03-25,LINE-E01,685,SYNTHETIC_GOERTEK_FIXTURE
2026-03-26,LINE-E01,400,SYNTHETIC_GOERTEK_FIXTURE
2026-03-27,LINE-E01,415,SYNTHETIC_GOERTEK_FIXTURE
2026-03-30,LINE-E01,460,SYNTHETIC_GOERTEK_FIXTURE
2026-03-31,LINE-E01,475,SYNTHETIC_GOERTEK_FIXTURE
