date,product_id,channel,units_sold,revenue_cny,promo_tag,data_label
2026-05-01,SKU-9001,ONLINE-STORE,212,19058.8,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-02,SKU-9001,ONLINE-STORE,251,22564.9,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-03,SKU-9001,ONLINE-STORE,253,22744.7,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-04,SKU-9001,ONLINE-STORE,214,19238.6,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-05,SKU-9001,ONLINE-STORE,212,19058.8,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-06,SKU-9001,ONLINE-STORE,202,18159.8,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-07,SKU-9001,ONLINE-STORE,258,23194.2,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-08,SKU-9001,ONLINE-STORE,226,20317.4,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-09,SKU-9001,ONLINE-STORE,237,21306.3,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-10,SKU-9001,ONLINE-STORE,220,19778,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-11,SKU-9001,ONLINE-STORE,233,20946.7,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-12,SKU-9001,ONLINE-STORE,214,19238.6,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-13,SKU-9001,ONLINE-STORE,240,21576,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-14,SKU-9001,ONLINE-STORE,254,22834.6,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-15,SKU-9001,ONLINE-STORE,259,23284.1,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-16,SKU-9001,ONLINE-STORE,208,18699.2,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-17,SKU-9001,ONLINE-STORE,245,22025.5,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-18,SKU-9001,ONLINE-STORE,200,17980,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-19,SKU-9001,ONLINE-STORE,245,22025.5,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-20,SKU-9001,ONLINE-STORE,240,21576,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-21,SKU-9001,ONLINE-STORE,233,20946.7,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-22,SKU-9001,ONLINE-STORE,204,18339.6,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-23,SKU-9001,ONLINE-STORE,220,19778,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-24,SKU-9001,ONLINE-STORE,214,19238.6,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-25,SKU-9001,ONLINE-STORE,256,23014.4,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-26,SKU-9001,ONLINE-STORE,233,20946.7,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-27,SKU-9001,ONLINE-STORE,217,19508.3,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-28,SKU-9001,ONLINE-STORE,223,20047.7,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-29,SKU-9001,ONLINE-STORE,251,22564.9,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-30,SKU-9001,ONLINE-STORE,252,22654.8,,SYNTHETIC_GOERTEK_FIXTURE
2026-05-31,SKU-9001,ONLINE-STORE,244,21935.6,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-01,SKU-9001,ONLINE-STORE,1961,176293.9,promo_6_1_mid_year,SYNTHETIC_GOERTEK_FIXTURE
2026-06-02,SKU-9001,ONLINE-STORE,1860,167214,promo_6_1_mid_year,SYNTHETIC_GOERTEK_FIXTURE
2026-06-03,SKU-9001,ONLINE-STORE,2048,184115.2,promo_6_1_mid_year,SYNTHETIC_GOERTEK_FIXTURE
2026-06-04,SKU-9001,ONLINE-STORE,250,22475,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-05,SKU-9001,ONLINE-STORE,255,22924.5,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-06,SKU-9001,ONLINE-STORE,238,21396.2,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-07,SKU-9001,ONLINE-STORE,225,20227.5,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-08,SKU-9001,ONLINE-STORE,235,21126.5,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-09,SKU-9001,ONLINE-STORE,244,21935.6,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-10,SKU-9001,ONLINE-STORE,226,20317.4,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-11,SKU-9001,ONLINE-STORE,230,20677,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-12,SKU-9001,ONLINE-STORE,225,20227.5,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-13,SKU-9001,ONLINE-STORE,216,19418.4,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-14,SKU-9001,ONLINE-STORE,229,20587.1,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-15,SKU-9001,ONLINE-STORE,211,18968.9,,SYNTHETIC_GOERTEK_FIXTURE
